question_id,question_type,question_text_he,question_text_en,category,level
q_zn2rlv4r,challenge,לחש/י לי באוזן משהו שלא היית אומר/ת בקול מול אמא שלך.,Whisper something in my ear that you'd never say out loud in front of your mom.,,1
q_h420nko7,question, מה הדבר שאתה/ת חולם/ת עליו בלילות ולא מעיז/ה לבקש?,What's the thing you fantasize about at night but don't dare ask for?,,1
q_bckmb64u,question,"בסקייל של 1 עד 10, כמה דמיון מיני אני מספק/ת לך - ובאיזה תחום אפשר יותר?","On a scale of 1 to 10, how much do I satisfy your sexual imagination — and where could there be more?",,1
q_53frebsb,question,מה המיקום הכי לא מצופה שחשבת לשכב איתי ולא שיתפת אותי עדיין?,What's the most unexpected place you've pictured having sex with me — and never told me about?,,
q_gstbi8er,challenge,הקלט/י הודעה קולית אירוטית של דקה - שלח/י לי שאשמע מחר בבוקר בדרך לעבודה.,Record me a one-minute erotic voice note — send it so I can listen tomorrow morning on my way to work.,,
q_ihftshfr,question,מה ההרגל המיני שפיתחנו שאתה/ת בעצם היית שמח/ה לשנות - והתעצלת להגיד?,What's a sexual habit we've fallen into that you'd actually love to change — and just never bothered to say?,,
q_7vm2q3do,question,מתי הרגשת שאתה/ת לא ראוי/ה להיות איתי - ולא אמרת?,When have you felt like you didn't deserve to be with me — and kept it to yourself?,,
q_e1aftl6b,question,מתי הרגשת שאתה/ת נותן/ת יותר מכפי שמקבל/ת?,When have you felt like you were giving more than you were getting back?,,
q_d8ihzmnz,question,מה הדבר שאתה/ת רוצה שאעשה לך במיטה - ואף פעם לא ביקשת?,What's something you want me to do to you in bed — that you've never asked for?,,
q_dz22m9it,question, איזה ריח / טעם שלי אתה/ת הכי אוהב/ת?,Which scent or taste of mine do you love the most?,,
q_avls14ma,question,מה הסקס הכי שקט שהיה לנו - ולמה היה חשוב?,What was the quietest sex we've ever had — and why did it matter?,,
q_2kipox51,question,מה אתה/ת זוכר/ה מהלילה הראשון שלנו שאני בטח שכחתי?,What do you remember from our first night that I've probably forgotten?,,
q_turugqoj,question,מה הרגע הראשון בו הבנת שאני ”מישהו/יא אח/ת“ מכל מי שהכרת עד כה?,When was the first moment you knew I was different from anyone you'd been with before?,,
q_tyw1ckhi,question,מה הדבר הכי קטן שאני עושה בשגרה שגורם לך להרגיש שאני איתך / שלך?,What's the smallest everyday thing I do that makes you feel I'm yours?,,
q_vuonejyy,question,מתי הבנת שאתה/ת לא רק אוהב/ת אותי - אלא אוהב/ת את החיים איתי?,When did you realize you don't just love me — you love the life we've built together?,,
q_1jll7ouc,challenge,בוא/י לכאן. נשיקה של 30 שניות - בלי מילים אחריה.,Come here. A 30-second kiss — no words after.,,
q_r912iena,challenge,שלח/י לי הודעת טקסט מפורטת מה אתה/ת רוצה לעשות אחרי המשחק. אסור לדבר על זה עד שנגיע לחדר.,Text me — in detail — exactly what you want to do after this game. No talking about it until we're in the bedroom.,,
q_e671gpmn,challenge,עיסוי עם שמן - 10 דקות. בלי לדלג לסקס. רק מגע.,Oil massage — 10 minutes. No skipping ahead to sex. Just touch.,,
q_lcu3sf58,question,מה עושה אותך מאושר/ת בבוקר? ,What makes you happy in the morning?,,
q_l6e05ln9,question,מה הייתה התקופה הכי קשה בזוגיות ומה עזר לנו לעבור אותה?,What was the hardest stretch we've been through together — and what got us through it?,,
q_53vvyirj,question,מה גורם לך להרגיש הכי אהוב/ה? (נגיעה / מילים / מעשים / זמן / מתנות),What makes you feel most loved? (touch / words / actions / time / gifts),,
q_xfbh8hqa,question,מה הנגיעה הקטנה שלי שגורמת לך להרגיש הכי אהוב/ה?,Which small touch of mine makes you feel most loved?,,
q_hiq5kaok,question,מה הייתה הנשיקה הכי טובה שלנו? מתי ואיפה?,What was our best kiss ever? When and where?,,
q_oisbu74v,question,אם היית צריך/ה לתאר את הסקס הכי טוב שהיה לנו - מה גרם לו להיות ככה?,If you had to describe the best sex we've ever had — what made it that good?,,
q_xewl88rz,question,מה הדבר שאתה/ת רוצה שאני אעשה יותר - בחדר השינה ובחיים,What's one thing you want me to do more of — in bed and in life?,,
q_ug8uqbvi,question,מה הדבר שאתה/ת הכי אוהב/ת שאני עושה בסקס ורוצה/ת יותר ממנו?,What's your favorite thing I do during sex that you want more of?,,
q_1g6n3d3g,question,"מה הזמן/המצב שאתה/ת הכי ""פתוח/ה"" לסקס - ואני לפעמים מפספס/ת?",When or in what mood are you most open to sex — and I sometimes miss the signs?,,
q_gwfnjcpr,question,אם הייתי שולח/ת לך הודעה מגרה ב-14:00 - מה היית רוצה שהיא תהיה?,If I sent you a turn-on text at 2pm — what would you want it to say?,,
q_4btsbxps,question,אם היינו יכולים לעשות דבר אחד מינית שלא עשינו - מה זה?,If we could do one sexual thing we've never done — what would it be?,,
q_kii97yfo,question,"מה הסצנה המינית שהכי מזיזה אותך - שראית, קראת, דמיינת?","What's the sexual scene that gets to you the most — something you've watched, read, or imagined?",,
q_ch5l12h5,challenge,"שב/י מול הבן/ת, הסתכלו בעיניים אחד של השנייה - ספר/י 3 דברים שלא אמרת לי השנה.","Sit facing your partner, look each other in the eyes — tell me 3 things you didn't say to me this year.",,
q_rjpl5cel,question,מה לדעתך הדבר שמחזיק אותנו ביחד יותר מכל? לא הילדים - אנחנו.,What do you think holds us together more than anything else? Not the kids — us.,,
q_vbf0b5ai,question,מה הנושא שתמיד נמנעים ממנו - ואולי הגיע הזמן לדבר?,What topic do we always dodge — that maybe it's time we talked about?,,
q_xbns6uhk,question,"מה ה""נצחון"" שלך בסקס - מה גורם לך להרגיש שזה היה המושלם?",What's your idea of a 'win' in sex — what makes it feel like it was perfect?,,
