text,option_a,option_b,order_index,domain,prior_a,prior_b,prior_weight,insight_line
"מי בדרך כלל אומר ""לילה טוב"" אחרון אצלכם?","אני, כמעט תמיד",בן או בת הזוג,1,תקשורת,58,42,100,רוב הזוגות בכלל לא מסכימים ביניהם מי סוגר את היום.
מי מרים ראשון את הטלפון בבוקר כדי לבדוק מה שלום השני?,אני,בדרך כלל הם,2,חברות,47,53,100,
"כשרבים, מי בדרך כלל עושה את הצעד הראשון לפיוס?",אני,בן או בת הזוג,3,ריבים,64,36,100,"מי שמרגיש שהוא תמיד הראשון להתפייס, ממש לא לבד."
מי בוחר בדרך כלל מה רואים בערב?,אני,בן או בת הזוג,4,פנאי,52,48,100,
"מי זוכר יותר את התאריכים החשובים, כמו ""היום לפני שנה""?",אני,בן או בת הזוג,5,הערכה,55,45,100,
"מי יוזם בדרך כלל חיבוק סתם ככה, בלי סיבה?",אני,בן או בת הזוג,6,אינטימיות,53,47,100,
מי מדבר יותר עם המשפחה המורחבת?,אני,בן או בת הזוג,7,משפחתיות,49,51,100,
מי לוקח יותר אחריות על הכסף וההוצאות בבית?,אני,בן או בת הזוג,8,כסף,56,44,100,
מי חולם בקול רם יותר על העתיד שלכם?,אני,בן או בת הזוג,9,עתיד,51,49,100,
"לדעתכם, כמה זוגות באמת מדברים על מה שמדליק אותם?",רובם,מעטים,10,מיניות,38,62,100,"שאלת ניחוש על הכלל, בלי לחשוף את עצמכם."
